Branch,Percentage_10th,Percentage_12th,Skills,Career_Goal,StudentId
CSIT,85,85,"Python, R, Data Analysis, Machine Learning, SQL, Data Visualization",Data Scientist,1
CSIT,85,95,"Python, R, Data Analysis, Machine Learning, SQL, Data Visualization",Data Scientist,2
CSIT,85,85,"Python, R, Data Analysis, Machine Learning, SQL, Data Visualization",Data Scientist,3
CS,85,95,,Cybersecurity Analyst,4
CS,85,95,"Python, Java, C++, Data Structures, Algorithms, Git",Software Engineer,5
IT,75,85,"Python, Java, C++, Data Structures, Algorithms, Git",Software Engineer,6
ECE,85,95,,IoT Developer,7
CS,85,85,"Python, R, Data Analysis, Machine Learning, SQL, Data Visualization",Data Scientist,8
CSAI,85,85,"Robotics, AI, C++, Embedded Systems, MATLAB, ROS",Robotics Engineer,9
CS,85,85,"Python, R, Data Analysis, Machine Learning, SQL, Data Visualization",Data Scientist,10
CS,85,85,"Python, AI, Machine Learning, Neural Networks, Deep Learning, TensorFlow",AI Engineer,11
CSIT,85,85,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,12
CSIT,85,95,,DevOps Engineer,13
CS,85,75,,Cybersecurity Analyst,14
ECE,75,75,,Embedded Systems Engineer,15
CSIT,85,95,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,16
CSIT,85,75,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,17
CS,85,95,"Python, R, Data Analysis, Machine Learning, SQL, Data Visualization",Data Scientist,18
CSIT,85,85,,DevOps Engineer,19
ECE,85,85,,VLSI Engineer,20
ECE,85,95,,Signal Processing Engineer,21
ECE,85,75,,Signal Processing Engineer,22
ECE,85,95,,Signal Processing Engineer,23
CS,85,85,"Python, AI, Machine Learning, Neural Networks, Deep Learning, TensorFlow",AI Engineer,24
CSIT,85,85,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,25
CS,85,85,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, Algorithms, Data Structures",Machine Learning Engineer,26
CS,85,95,"Python, AI, Machine Learning, Neural Networks, Deep Learning, TensorFlow",AI Engineer,27
CSIT,85,85,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,28
CSIT,75,75,,DevOps Engineer,29
CS,85,95,"Python, R, Data Analysis, Machine Learning, SQL, Data Visualization",Data Scientist,30
CSIT,85,85,,DevOps Engineer,31
