student_id,course_id,similarity_score,Branch,Percentage_10th,Percentage_12th,Skills_x,Career_Goal,StudentId,skills_processed_x,career_goal_processed,Title,Category,Course Type,Skills_y,skills_processed_y,category_processed
83,google_data_analytics_capstone_complete_a_case_stu,0.19873558729511176,MCA,75,65,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,83,html css javascript react nodejs angular apis databases,web developer,Google Data Analytics Capstone: Complete a Case Study,Data Science,Course,"Job portfolio,Data Cleansing,Data Analysis,Data Visualization (DataViz),case study,",job portfoliodata cleansingdata analysisdata visualization datavizcase study,data science
17,1mindfulness_in_integrative_healthcare,0.19847879782273997,CSIT,85,75,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,17,html css javascript react nodejs angular apis databases,web developer,Mindfulness in Integrative Healthcare,Health,Course,"wellbeing,improved symptom management,whole-person care,Mindfulness,integrative medicine,",wellbeingimproved symptom managementwholeperson caremindfulnessintegrative medicine,health
83,web_design_for_everybody_basics_of_web_development,0.41132920121092353,MCA,75,65,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,83,html css javascript react nodejs angular apis databases,web developer,Web Design for Everybody: Basics of Web Development & Coding Specialization,Computer Science,Specialization,"Web Development, Cascading Style Sheets (CSS), Html5, JavaScript, Responsive Web Design, Web Design, Web Accessibility, HTML, Style Sheets, Document Object Model (DOM), Bootstrap (Front-End Framework), ",web development cascading style sheets css html javascript responsive web design web design web accessibility html style sheets document object model dom bootstrap frontend framework,computer science
2,ethical_issues_in_data_science,0.6135305289103672,CSIT,85,95,"Python, R, Data Analysis, Machine Learning, SQL, Data Visualization",Data Scientist,2,python r data analysis machine learning sql data visualization,data scientist,Ethical Issues in Data Science,Data Science,Course,"Data Science,Ethics,Algorithms,Privacy,Philosophy,",data scienceethicsalgorithmsprivacyphilosophy,data science
40,introduction_to_programming_with_python_and_java_s,0.21944055625297665,CSME,85,75,"Automation Systems, PLC Programming, Control Systems, Robotics, SCADA",Automation Engineer,40,automation systems plc programming control systems robotics scada,automation engineer,Introduction to Programming with Python and Java Specialization,Computer Science,Specialization,"Programming Principles, Python Programming, Java Programming, Data Structure, Computer Programming, Python Tools, Python Syntax And Semantics, Data Science, Python Libraries, Data Analysis, Data Visualization (DataViz), Java Tools, ",programming principles python programming java programming data structure computer programming python tools python syntax and semantics data science python libraries data analysis data visualization dataviz java tools,computer science
24,machine_learning_foundations_a_case_study_approach,0.3863227200928526,CS,85,85,"Python, AI, Machine Learning, Neural Networks, Deep Learning, TensorFlow",AI Engineer,24,python ai machine learning neural networks deep learning tensorflow,ai engineer,Machine Learning Foundations: A Case Study Approach,Data Science,Course,"Python Programming,Machine Learning Concepts,Machine Learning,Deep Learning,",python programmingmachine learning conceptsmachine learningdeep learning,data science
79,analyze_data_to_answer_questions,0.19821706139720832,IT,85,75,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,79,html css javascript react nodejs angular apis databases,web developer,Analyze Data to Answer Questions,Data Science,Course,"Spreadsheet,Data Analysis,SQL,Data Calculations,Data Aggregation,",spreadsheetdata analysissqldata calculationsdata aggregation,data science
6,_supervised_machine_learning_classification,0.31815591785090486,IT,75,85,"Python, Java, C++, Data Structures, Algorithms, Git",Software Engineer,6,python java c data structures algorithms git,software engineer, Supervised Machine Learning: Classification,Data Science,Course,"Decision Tree,Ensemble Learning,Classification Algorithms,Supervised Learning,Machine Learning (ML) Algorithms,",decision treeensemble learningclassification algorithmssupervised learningmachine learning ml algorithms,data science
46,systems_biology_and_biotechnology_specialization,0.2936634799310856,CSAI,85,85,"Robotics, AI, C++, Embedded Systems, MATLAB, ROS",Robotics Engineer,46,robotics ai c embedded systems matlab ros,robotics engineer,Systems Biology and Biotechnology Specialization,Health,Specialization,"Biology, Molecular Biology, Dynamical Systems, Matlab, ",biology molecular biology dynamical systems matlab,health
20,python_for_active_defense,0.19955748496662495,ECE,85,85,,VLSI Engineer,20,,vlsi engineer,Python for Active Defense,Information Technology,Course,"Python Programming,active defense,",python programmingactive defense,information technology
